date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Alpha,27.0,30.68,14.57142857142,2.606695629951
2021-01-21,California,State,Gamma,0.0,0.0,0.28571428571,0.051111679019
2021-01-21,California,State,Delta,1.0,1.14,0.71428571428,0.127779197547
2021-01-21,California,State,Omicron,0.0,0.0,0.14285714285,0.025555839509
2021-01-21,California,State,Epsilon,43.0,48.86,313.42857142857,56.069511883465
2021-01-21,California,State,Other,17.0,19.32,229.85714285714,41.119345770509
2021-01-21,California,State,Total,88.0,100.0,559.0,100.0
2021-01-22,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-22,California,State,Delta,1.0,2.13,0.57142857142,0.117924528302
2021-01-22,California,State,Alpha,7.0,14.89,14.42857142857,2.977594339623
2021-01-22,California,State,Epsilon,27.0,57.45,271.57142857142,56.043632075472
2021-01-22,California,State,Gamma,0.0,0.0,0.28571428571,0.058962264151
2021-01-22,California,State,Other,12.0,25.53,197.57142857142,40.772405660377
2021-01-22,California,State,Omicron,0.0,0.0,0.14285714285,0.029481132075
2021-01-22,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Total,47.0,100.0,484.57142857142,100.0
2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Omicron,0.0,0.0,0.14285714285,0.037271710772
2021-01-23,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-23,California,State,Total,25.0,100.0,383.28571428571,100.0
2021-01-23,California,State,Epsilon,10.0,40.0,217.57142857142,56.764815505032
2021-01-23,California,State,Other,4.0,16.0,151.14285714285,39.433469996273
2021-01-23,California,State,Gamma,0.0,0.0,0.28571428571,0.074543421543
2021-01-23,California,State,Delta,0.0,0.0,0.57142857142,0.149086843086
2021-01-23,California,State,Alpha,11.0,44.0,13.57142857142,3.540812523295
2021-01-23,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-24,California,State,Delta,0.0,0.0,0.57142857142,0.165631469979
2021-01-24,California,State,Omicron,0.0,0.0,0.14285714285,0.041407867495
2021-01-24,California,State,Gamma,0.0,0.0,0.14285714285,0.041407867495
2021-01-24,California,State,Other,4.0,8.7,133.42857142857,38.674948240166
2021-01-24,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Alpha,7.0,15.22,14.14285714285,4.099378881988
2021-01-24,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Total,46.0,100.0,345.0,100.0
2021-01-24,California,State,Epsilon,35.0,76.09,196.57142857142,56.977225672878
2021-01-25,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-25,California,State,Epsilon,48.0,57.14,142.0,56.735159817352
2021-01-25,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Alpha,4.0,4.76,12.85714285714,5.13698630137
2021-01-25,California,State,Omicron,0.0,0.0,0.14285714285,0.057077625571
2021-01-25,California,State,Other,32.0,38.1,94.71428571428,37.842465753425
2021-01-25,California,State,Delta,0.0,0.0,0.42857142857,0.171232876712
2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-25,California,State,Total,84.0,100.0,250.28571428571,100.0
2021-01-25,California,State,Gamma,0.0,0.0,0.14285714285,0.057077625571
2021-01-26,California,State,Other,217.0,37.8,52.0,32.675044883303
